#                                                           
# //$$        /$$       /$$       $$ /$$$$$$$   $$    $$    
# | $$       //$$    $$| $$$    /$$$| $$       /$$$$  $$    
# | $$       | $$    $$| $$$$  /$$$$| $$      | $$$$$ $$    
# | $$       | $$    $$| $$ $$/$$ $$| $$$$$$$ | $$ $$$$$    
# | $$       | $$    $$| $$  $$$| $$| $$      | $$   $$$    
# | $$       | $$    $$| $$\  $ | $$| $$      | $$    $$    
# | $$$$$$$  | $$$$$$$$| $$     | $$| $$$$$$$/| $$    $$    
# |______/   |________/|__/     |__/|_______/  \__/  \_/    
#                                                           
#             GPL Version 1.0.0 Revision 120                
#                       MPI Build                           
#                 (based on Yambo 4.1.2)                    
#
#[RT] Time steps       :10667
#[RT] Time step    [fs]:  0.01500
#[NL] Damping      [fs]:  0.05000
#[NL] Bands   ange     :34 - 47
#[NL] Energy range     : 0.700000 -  2.050000
#[NL] Number of freqs  :192
#[NL] Number of intens :1
#[NL] Force 2nd approx : no
#[NL] Use DIPOLES      : no
#[RT] Integrator           :CRANKNIC
#[NL] Correlation           :LSEX
#[NL] Number of G in NL-dynamics  :123
#[NL] Number of G in Oscillators  :1
# [FIELDs] Type           :SOFTSIN
#[FIELDs] Versor                : 0.000000  1.000000  0.000000
#[FIELDs] Intensity     [kWCMm2]: 1000.
#[FIELDs] Damping           [fs]: 82.68275
#[FIELDs] Frequency range   [eV]:  0.10000
#[FIELDs] Initial time      [fs]:  0.01500
#
#  Efield Denominator =  -0.2807558530E+12  0.0000000000E+00
#  Amplitude rescale factor: 1
#
  # E [eV]         X/Im[cm/stV](x)  X/Re[cm/stV](x)  X/Im[cm/stV](y)  X/Re[cm/stV](y)  X/Im[cm/stV](z)  X/Re[cm/stV](z)
   1.227343750     0.8281394828E-7  -.5996336865E-7  -.9745331329E-5  0.9499709322E-6   0.000000000      0.000000000   
   1.234375000     0.1143315782E-6  -.5614983865E-7  -.1022952266E-4  0.2135348919E-5   0.000000000      0.000000000   
   1.241406250     0.1554509016E-6  -.4289986725E-7  -.1088626823E-4  0.2961410091E-5   0.000000000      0.000000000   
   1.248437500     0.2057014584E-6  -.1053526200E-7  -.1191943970E-4  0.3549948716E-5   0.000000000      0.000000000   
   1.255468750     0.2559001455E-6  0.5470689204E-7  -.1286417048E-4  0.3973803483E-5   0.000000000      0.000000000   
   1.262500000     0.2803001291E-6  0.1608837305E-6  -.1408317749E-4  0.4218482403E-5   0.000000000      0.000000000   
   1.269531250     0.2439532496E-6  0.2883712393E-6  -.1524774741E-4  0.4621127067E-5   0.000000000      0.000000000   
   1.276562500     0.1410303555E-6  0.3878786980E-6  -.1700735188E-4  0.5037099210E-5   0.000000000      0.000000000   
   1.283593750     0.6992564185E-8  0.4283388075E-6  -.1961012150E-4  0.5464280966E-5   0.000000000      0.000000000   
   1.290625000     -.1251407896E-6  0.4140236837E-6  -.2335002095E-4  0.4660576243E-5   0.000000000      0.000000000   
   1.297656250     -.2402874215E-6  0.3543691795E-6  -.2741044222E-4  0.2160011219E-5   0.000000000      0.000000000   
   1.304687500     -.3215085886E-6  0.2541618207E-6  -.3057914577E-4  -.2453570337E-5   0.000000000      0.000000000   
   1.311718750     -.3454015275E-6  0.1345025791E-6  -.3227878626E-4  -.8235289516E-5   0.000000000      0.000000000   
   1.318750000     -.3130262222E-6  0.3684793500E-7  -.3157285110E-4  -.1500313956E-4   0.000000000      0.000000000   
   1.325781250     -.2581578210E-6  -.1660249437E-7  -.2830968199E-4  -.2094253954E-4   0.000000000      0.000000000   
   1.332812500     -.2089787812E-6  -.3608529122E-7  -.2329339511E-4  -.2488549568E-4   0.000000000      0.000000000   
   1.339843750     -.1729096553E-6  -.3767682014E-7  -.1834344275E-4  -.2688730778E-4   0.000000000      0.000000000   
   1.346875000     -.1489927406E-6  -.2961481141E-7  -.1346529078E-4  -.2760808742E-4   0.000000000      0.000000000   
   1.353906250     -.1375683051E-6  -.1574774994E-7  -.9196778461E-5  -.2739933564E-4   0.000000000      0.000000000   
   1.36093750      -.140206155E-06  -.385578702E-09  -.523950272E-05  -.263339818E-04   0.00000000       0.00000000    
   1.367968750     -.1585766043E-6  0.9826386904E-8  -.1976770111E-5  -.2482760279E-4   0.000000000      0.000000000   
   1.375000000     -.1907800354E-6  0.4087102237E-8  0.7822502303E-6  -.2270409225E-4   0.000000000      0.000000000   
   1.382031250     -.2247455185E-6  -.2923927933E-7  0.2897610207E-5  -.2062361815E-4   0.000000000      0.000000000   
   1.389062500     -.2374975654E-6  -.8986020253E-7  0.4754152715E-5  -.1819286842E-4   0.000000000      0.000000000   
   1.396093750     -.2105860380E-6  -.1568131912E-6  0.6400715483E-5  -.1539221885E-4   0.000000000      0.000000000   
   1.403125000     -.1481966904E-6  -.2000247753E-6  0.6990591734E-5  -.1151648312E-4   0.000000000      0.000000000   
   1.410156250     -.7454174806E-7  -.2026302380E-6  0.5684950300E-5  -.7713953539E-5   0.000000000      0.000000000   
   1.417187500     -.1699511687E-7  -.1689529882E-6  0.2424327336E-5  -.5480090259E-5   0.000000000      0.000000000   
   1.424218750     0.9825320563E-8  -.1193741890E-6  -.5167099504E-6  -.5810288369E-5   0.000000000      0.000000000   
   1.431250000     0.9258279825E-8  -.7315404131E-7  -.2013388963E-5  -.7335674735E-5   0.000000000      0.000000000   
   1.438281250     -.1000377577E-7  -.3882634299E-7  -.1852748461E-5  -.8558960930E-5   0.000000000      0.000000000   
   1.445312500     -.4147937335E-7  -.2235053228E-7  -.1353793047E-5  -.8981168303E-5   0.000000000      0.000000000   
   1.452343750     -.7350004918E-7  -.2879227185E-7  -.9355705459E-6  -.8610881047E-5   0.000000000      0.000000000   
   1.459375000     -.9157195958E-7  -.5366557635E-7  -.1287231277E-5  -.8263474277E-5   0.000000000      0.000000000   
   1.466406250     -.8708314537E-7  -.8346396259E-7  -.1968247122E-5  -.8321707291E-5   0.000000000      0.000000000   
   1.473437500     -.6313576281E-7  -.1007384155E-6  -.2403253921E-5  -.9301326451E-5   0.000000000      0.000000000   
   1.480468750     -.3680188792E-7  -.9691030547E-7  -.2023125397E-5  -.1028798990E-4   0.000000000      0.000000000   
   1.487500000     -.2165827579E-7  -.8204298966E-7  -.1018055373E-5  -.1105144513E-4   0.000000000      0.000000000   
   1.494531250     -.1499000770E-7  -.6651026902E-7  0.1062514214E-6  -.1110011637E-4   0.000000000      0.000000000   
   1.501562500     -.1297382273E-7  -.5071835137E-7  0.1224417128E-5  -.1078716593E-4   0.000000000      0.000000000   
   1.508593750     -.1591287713E-7  -.3494624386E-7  0.1870982932E-5  -.1006926195E-4   0.000000000      0.000000000   
   1.515625000     -.2371667522E-7  -.2033780527E-7  0.2337658509E-5  -.9399498197E-5   0.000000000      0.000000000   
   1.522656250     -.3664662068E-7  -.8641347964E-8  0.2451816816E-5  -.8762891216E-5   0.000000000      0.000000000   
   1.529687500     -.5303709543E-7  -.2677026999E-8  0.2560635517E-5  -.8184466328E-5   0.000000000      0.000000000   
   1.536718750     -.6887423641E-7  -.3456774947E-8  0.2352887362E-5  -.7795600175E-5   0.000000000      0.000000000   
   1.543750000     -.8014823151E-7  -.8256440551E-8  0.2250397027E-5  -.7601834638E-5   0.000000000      0.000000000   
   1.550781250     -.8681444775E-7  -.1196166549E-7  0.2197961213E-5  -.7710635631E-5   0.000000000      0.000000000   
   1.557812500     -.9305945753E-7  -.1198775374E-7  0.2464284935E-5  -.7734578110E-5   0.000000000      0.000000000   
   1.564843750     -.1024235918E-6  -.1076096828E-7  0.2856940583E-5  -.7816821308E-5   0.000000000      0.000000000   
   1.571875000     -.1141446242E-6  -.1081919010E-7  0.3399916116E-5  -.7642406910E-5   0.000000000      0.000000000   
   1.578906250     -.1278832993E-6  -.1235541359E-7  0.4095690824E-5  -.7490967388E-5   0.000000000      0.000000000   
   1.585937500     -.1437041552E-6  -.1702939242E-7  0.4971582078E-5  -.6920562448E-5   0.000000000      0.000000000   
   1.592968750     -.1591473572E-6  -.2627111268E-7  0.5922199997E-5  -.5890997050E-5   0.000000000      0.000000000   
   1.600000000     -.1710498391E-6  -.3820678381E-7  0.6303504306E-5  -.4183921480E-5   0.000000000      0.000000000   
   1.607031250     -.1791100078E-6  -.4808436164E-7  0.5966381883E-5  -.2437969713E-5   0.000000000      0.000000000   
   1.614062500     -.1889840543E-6  -.5108128851E-7  0.4857724636E-5  -.1083384307E-5   0.000000000      0.000000000   
   1.621093750     -.2123902016E-6  -.5094157763E-7  0.3711918823E-5  -.3692045787E-6   0.000000000      0.000000000   
   1.628125000     -.2529657711E-6  -.6579815364E-7  0.2647239955E-5  -.7427080804E-7   0.000000000      0.000000000   
   1.635156250     -.2921429324E-6  -.1105300781E-6  0.2011259599E-5  0.2381101940E-6   0.000000000      0.000000000   
   1.642187500     -.3074105688E-6  -.1756371868E-6  0.1248752501E-5  0.7787290327E-6   0.000000000      0.000000000   
   1.649218750     -.2938641480E-6  -.2420628332E-6  0.1568926256E-6  0.1534815329E-5   0.000000000      0.000000000   
   1.656250000     -.2564191008E-6  -.2953616020E-6  -.1545322837E-5  0.1941295891E-5   0.000000000      0.000000000   
   1.663281250     -.2075796381E-6  -.3249709163E-6  -.3588926027E-5  0.1878034378E-5   0.000000000      0.000000000   
   1.670312500     -.1642874190E-6  -.3333934048E-6  -.5748624565E-5  0.8946998356E-6   0.000000000      0.000000000   
   1.677343750     -.1330137308E-6  -.3327940408E-6  -.7670567619E-5  -.8070184578E-6   0.000000000      0.000000000   
